Table S1. WOS abstracts associated with baijiu,,,,,,,,,,,,,,,,,
RowID,Authors,Article Title,Source Title,Source Title - Korean,Volume,Issue,Start Page,End Page,Article Number,DOI,Publication Year,Abstract,ISSN,eISSN,UT (Unique ID),Pubmed Id,
279,"Dong, Jian; Hong, Kun-Qiang; Hao, Ai-Li; Zhang, Cui-Ying; Fu, Xiao-Meng; Wang, Peng-Fei; Xiao, Dong-Guang",Gradual Enhancement of Ethyl Acetate Production Through Promoter Engineering in Chinese Liquor Yeast Strains,BIOTECHNOLOGY PROGRESS,,34,2,328,336,,10.1002/btpr.2605,2018,"As content and proportion of ethyl acetate is critical to the flavor and quality of beverages, the concise regulation of the ethyl acetate metabolism is a major issue in beverage fermentations. In this study, for ethyl acetate yield regulation, we finely modulated the expression of ATF1 through precise and seamless insertion of serially truncated PGK1 promoter from the 3' end by 100bp steps in the Chinese liquor yeast, CLy12a. The three engineered promoters carrying 100-, 200-, and 300-bp truncations exhibited reduced promoter strength but unaffected growth. These three promoters were integrated into the CLy12a strain, generating strains CLy12a-P-100, CLy12a-P-200, and CLy12a-P-300, respectively. The transcription levels of CLy12a-P-100, CLy12a-P-200, and CLy12a-P-300 were 20%, 17%, and 10% of that of CLy12a-P, respectively. The AATase (alcohol acetyl transferases, encoded by the ATF1 gene) activity of three engineered strains were 36%, 56%, and 62% of that of CLy12a-P. In the liquid fermentation of corn hydrolysate at 30 degrees C, the concentration of ethyl acetate in CLy12a-P-100, CLy12a-P-200, and CLy12a-P-300 were reduced by 28%, 30%, and 42%, respectively, compared to CLy12a-P. These results verifying that the ethyl acetate yield could be gradually enhanced by finely modulating the expression of ATF1. The engineered strain CLy12a-P-200 produced the ethyl acetate concentration with the best sensorial quality compared to the other engineered yeast strains. The method proposed in this work supplies a practical proposal for breeding Chinese liquor yeast strains with finely modulated ethyl acetate yield. (C)) 2018 American Institute of Chemical Engineers",8756-7938,1520-6033,WOS:000430490800003,29314788,
280,"Ma, Yanhong; Qiao, Hua; Wang, Wei; Chen, Ting; Du, Xiaowei; Zhai, Xulong; Zhang, Shengwan",VARIATIONS IN PHYSICOCHEMICAL PROPERTIES OF CHINESE FENJIU DURING STORAGE AND HIGH-GRAVITY TECHNOLOGY OF LIQUOR AGING,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,,17,4,923,936,,10.1080/10942912.2012.678536,2014,"Gas chromatography, gas chromatography/mass spectrometry, headspace/gas chromatography/mass spectrometry, and Dean's switch technology were used to identify the structure and investigate the transformation of aroma components of Chinese Fenjiu under different ages (from 0 to 30 years). Results showed that the variation in physicochemical properties of Fenjiu was due to the synergistic effects of volatilization of low boiling point matters, oxidation of dissolved oxygen, balance between esterification and hydrolysis, weak interaction among molecules, and involvement of metal elements extracted from storage vessels. By simulating the natural storage environment and utilizing high-gravity rotating packed bed technique, a multistage-spraying rotating packed bed was developed locally and successfully applied to liquor aging. The liquor treated by this method had qualities equivalent to the liquors aged naturally for more than two years. The present study reveals the traditional aging process of Chinese liquor and offers a perspective into the utilitization of high-gravity rotating packed bed technique as an alternative tool for liquor aging.",1094-2912,1532-2386,WOS:000327187600018,,
281,"Wang, Wenhua; Fan, Guangsen; Li, Xiuting; Fu, Zhilei; Liang, Xin; Sun, Baoguo",Application of Wickerhamomyces anomalus in Simulated Solid-State Fermentation for Baijiu Production: Changes of Microbial Community Structure and Flavor Metabolism,FRONTIERS IN MICROBIOLOGY,,11,,,,598758,10.3389/fmicb.2020.598758,2020,"Wickerhamomyces anomalus is conducive to the synthesis of ester compounds in brewing the Chinese liquor Baijiu; esters are crucial for the quality of Baijiu. In this study, simulated solid-state fermentation for Baijiu production was used to explore whether artificial addition of W. anomalus could improve the flavor substance in Baijiu, and the underlying mechanisms. Two experimental groups were studied, in which W. anomalus Y3604 (Group A) and YF1503 (Group B) were added, respectively; in the control group (Group C), no W. anomalus was added. Adding strain Y3604 increased the content of esters in fermentation samples, especially ethyl acetate and ethyl caproate, and reduced the content of higher alcohols. Adding strain YF1503 had little effect on the ester content but decreased the content of higher alcohols. The diversity and abundance of prokaryotic genera in Group A and B samples were similar, but there were some differences compared with Group C. The correlations of genera in Group A or B samples were simple compared with group C. Although the predominant eukaryotic genera in the three groups were consistent, the abundance of each gene varied among groups. Based on our findings, bioaugmentation of Baijiu fermentation with W. anomalus will change the ethyl acetate content and cause changes in the levels of other flavor substances. We suggest that the changes in flavor substances caused by the addition of W. anomalus are mainly due to changes in the microbial community structure that result from the addition of W. anomalus.",1664-302X,,WOS:000597291300001,33329488,
282,"Yan, Qin; Zhang, Kaizheng; Zou, Wei; Hou, Yaochuan","Three main flavour types of Chinese Baijiu: characteristics, research, and perspectives",JOURNAL OF THE INSTITUTE OF BREWING,,,,,,,10.1002/jib.669,2021,"Chinese Baijiu is one of the six major distilled spirits in the world, occupying an important place in the global spirits industry due to its unique brewing technology, special taste and flavour. Historically, Baijiu has evolved into twelve flavour types, among which the Moutai-flavour, Luzhou-flavour, and Light-flavour are the main types consumed in China. However, the profiles of the three flavour types of Baijiu have not been summarised and considered systematically. Here, we review the characteristics of the three main flavour types of Baijiu and discuss the key flavour components (description, odour threshold, and odour activity value), together with research advancements. Furthermore, areas where further research in Chinese Baijiu flavour is required are discussed. (c) 2021 The Institute of Brewing & Distilling",0046-9750,2050-0416,WOS:000702941300001,,
283,"Zhou, Wei; Chen, Ziyi; Zhang, Guohao; Liu, Zhigang",Systems pharmacology-based approach for dissecting the mechanisms of pyrazine components in Maotai liquor,BIOSCIENCE REPORTS,,39,,,,BSR20191864,10.1042/BSR20191864,2019,"Maotai liquor is a typical representative of sauce aroma-style flavor liquors and has been considered to be a precious cultural heritage of the oriental spirit culture. Aroma components are largely responsible for the characteristic aroma of liquor. Pyrazine compound is one of the most important categories of aroma components that affect the flavor of Maotai liquor. However, limited information is available regarding the systemic analysis of pyrazine compounds, especially the pharmacological effects of bioactive pyrazine components. Therefore, in the current study, a systemic analysis approach was provided by integrating absorption, distribution, metabolism, and excretion (ADME) screening, target identification, pharmacological evaluation and pathway analysis to explore the pharmacological mechanism of pyrazine compounds in Maotai liquor. As a result, 17 pyrazine components with adequate pharmacokinetic properties were filtered out using ADME models. Thirty eight potential targets of these active compounds were identified through target prediction. The pharmacological evaluation was proposed to uncover the pharmacological effect of pyrazine compounds in Maotai liquor from the holistic perspective. Finally, the pharmacological effects of the pathways perturbed by potential targets were interpreted based on the pathway analysis. Our study lays the foundation for formulating a comprehensive understanding of the pyrazine compounds in Maotai liquor, which would contribute to the development of Chinese liquor.",0144-8463,1573-4935,WOS:000489729000001,31511433,
284,"Zuo, Qiancheng; Huang, Yongguang; MinGuo",Evaluation of bacterial diversity during fermentation process: a comparison between handmade and machine-made high-temperature Daqu of Maotai-flavor liquor,ANNALS OF MICROBIOLOGY,,70,1,,,57,10.1186/s13213-020-01598-1,2020,"Purpose High-temperature Daqu is a traditional fermentation starter that is used for Chinese Maotai-flavor Baijiu production. Although the bacteria in high-temperature Daqu are known to be responsible for developing the quality and flavor of Baijiu during the fermentation process, there is little information on the properties of the bacteria during the fermentation of high-temperature Daqu, especially machine-made high-temperature Daqu. This has limited the development of the Maotai-flavor Baijiu industry, particularly with regard to the mechanized production of Maotai-flavor Baijiu. Methods Illumina MiSeq high-throughput sequencing was applied to study bacterial compositions during the fermentation of handmade and machine-made high temperatures. Results The results show that bacterial diversity in machine-made Daqu was similar but higher than that in handmade Daqu at the end of fermentation, and there was no significant difference between the methods with regard to the dominant genera and their dynamic changes during fermentation.Rhizobium,Bacillus,Thermoactinomyces,Weissella,Lactobacillus, andSaccharopolysporawere the dominant genera during the fermentation of both Daqus, although the relative abundance of these dominant genera differed between the two methods. Interestingly, the machine-made Daqu contained a higher relative abundance ofBacillusthan handmade Daqu at all fermentation times.Bacillusis the most important functional bacteria in the fermentation of Maotai-flavor Baijiu, suggesting that mechanical-molding methods could be applied to industrial Maotai-flavor Daqu production. Conclusion These results suggest that mechanical-molding methods could be applied to industrial Maotai-flavor Daqu production, which could be helpful for industrial Maotai-flavor Baijiu production and the development of fermentation technology.",1590-4261,1869-2044,WOS:000576522500002,,
285,Fan Guangsen; Wang Yunzhong; Liu Pengxiao; Wu Qiuhua; Fu Zhilei; Zhu Yuting; Cheng Liujie; Li Xiuting,Research Progress in Catalytic Synthesis of Ethyl Acetate in Baijiu by Alcohol Acyltransferase,Journal of Chinese Institute Of Food Science and Technology,,20,11,294,304,1009-7848(2020)20:11<294:CXJZYM>2.0.TX;2-U,,2020,"Ethyl acetate is an important active aroma ester compound in Baijiu, and it has important impacts on the style and quality of Baijiu.Therefore, it is of great significance to study its formation mechanism in Baijiu brewing process.Systematic study and analysis of Baijiu brewing process showed that ethyl acetate in Baijiu mainly came from biosynthesis pathway.Meanwhile, aroma-producing yeasts are the main strains that produce ethyl acetate.Especially, the research progress of alcohol acetyltransferase, which is one of esterification enzyme, in the synthesis of ethyl acetate in yeast was discussed.Meanwhile, the research on the synthesis of ethyl acetate by alcohol acetyltransferase in aroma-producing yeasts was prospected.",1009-7848,,CSCD:6860258,,
286,"He, Yingxia; Liu, Zhipeng; Qian, Michael; Yu, Xiaowei; Xu, Yan; Chen, Shuang",Unraveling the chemosensory characteristics of strong-aroma type Baijiu from different regions using comprehensive two-dimensional gas chromatography-time-of-flight mass spectrometry and descriptive sensory analysis,FOOD CHEMISTRY,,331,,,,127335,10.1016/j.foodchem.2020.127335,2020,"Comprehensive 2D gas chromatography-time-of-flight mass spectrometry was combined with descriptive sensory analysis to elucidate the specificity of strong-aroma type Baijiu (Chinese liquor) from different regions, based on regionally distinct flavor characterized by chemical and sensory profiles. Numerous potential aroma compounds (262) were identified, among which 58 aroma compounds were significantly different between the samples from Sichuan and Jianghuai regions. Relationships between these potential aroma compounds and sensory attributes were investigated by partial least squares regression and network analysis. The compounds that dominantly contributed to the important sensory attributes were identified. The high pyrazines, furanoids, and carbonyls amounts contributed to the high intensities of the cellar, toasted, and grain aroma profiles of the Sichuan region samples, while the high ester and alcohol levels contributed to the fruity and floral aroma profiles of the Jianghuai region samples. This approach may have practical application in flavor characterization of other alcoholic beverages.",0308-8146,1873-7072,WOS:000559808400003,32574944,
287,Ouyang Yongzhong; Li Cao; Zhou Yafei; Zhou Zhen,Rapid Analysis of Adulterated Chinese Liquor by Extractive Electrospray Ionization Mass Spectrometry,ACTA CHIMICA SINICA,,71,12,1625,1632,,10.6023/A13070738,2013,"A novel analytical platform based on a home-made extractive electrospray ionization (EESI) source coupled with LTQ-XL mass spectrometer has been developed for fast and accurate identification of eight different kinds of adulterated Chinese liquors such as Maotai. Alcohol concentration in each liquor sample was measured by an alcohol meter and was adjusted to the same value by adding water and industrial alcohol. Measurements were done in positive ion detection mode under optimized experimental conditions. The ESI voltage was set to +4 kV, the pressure of the sheath gas (N-2) was 1.2 MPa, the temperature of the heated capillary was set to 150 degrees C, and the primary ions were created by electrospraying methanol/water/acetic acid mixture (4 : 4 : 2, V : V : V) at 5 mu L.min(-1). Normalized mass spectra of authentic and counterfeit liquors were differentiated by principal component analysis (PCA). Reproducibility of the method was characterized by cluster analysis (CA). Several constituents of liquor vapor were identified by tandem mass spectrometry (MS/MS). To perform MS/MS experiments, ions of interest were isolated with a mass-to-charge window width of 1.4 u. and then subjected to collision-induced dissociation (CID) with 16%similar to 24% collision energy for 30 ms. The analysis time for a single sample was less than 1 min. The accuracy of identification predicted by PCA was 96.5%. The feasibility of this method was verified by testing several unknown samples. In addition to EESI-LTQ-MS, volatile compounds in Maotai vapor were also studied by single photon ionization time-of-flight mass spectrometry (SPI-TOF-MS), and molecular fingerprints obtained by these two methods were compared. These two detection means showed their respectively outstanding advantages and synergy for the analysis of volatile organic compounds (VOCs). The introduced method provides an important tool for the quality control of alcoholic beverages with high speed and simplicity of analysis on the market.",0567-7351,,WOS:000329892400008,,
288,"Sun, Jin-yuan; Yin, Zhong-tian; Zhao, Dong-rui; Sun, Bao-guo; Zheng, Fu-ping",Qualitative and quantitative research of propyl lactate in brewed alcoholic beverages,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,,21,1,1351,1361,,10.1080/10942912.2018.1466325,2018,"Recently, propyl lactate has been firstly detected in Chinese Baijiu (Chinese liquor) as one of the odor-active components. In this study, the contents of propyl lactate in other different brewed alcoholic beverages were investigated, including wine, soju, sake, vodka, rum, tequila, whisky and beer, and analyzed by solid-phase microextraction and liquid-liquid extraction coupled with gas chromatography-mass spectrometry, determined by internal standard method followed by GC-MS with selective ion monitoring. The analyses indicated that propyl lactate was present in beer and tequila samples, while not detected in other brewed alcoholic beverages. The results showed that among the 40 beer samples from 11 different countries, 36 of them contained propyl lactate at concentrations in the range of 0.23-51.71 mu gL(-1). In addition, all of six tequila samples contained propyl lactate at concentrations in the range of 0.77-12.14mgL(-1), and the odor activity values (OAVs) of propyl lactate were greater than 1 in all of the tequila samples. These findings indicated that propyl lactate was widely distributed in beer and tequila; it was also an odor-active component of tequila according to OAVs.",1094-2912,1532-2386,WOS:000437342300002,,
289,Lv Jiahui; Fan Wenlai; Xu Yan,Research of bound aromas based on enzyme hydrolysisof sorghums for brewing Chinese liquor,Food and Fermentation Industries,,43,8,224,228,0253-990X(2017)43:8<224:JYMSXF>2.0.TX;2-Y,,2017,"In order to explore the effect of sorghums on Chinese liquor's quality, the SPE column was employed to adsorb bound precursors,and then,which were hydrolyzed by beta-glucosidase to release aroma compounds. The HSSPME coupled with GC-MS was used to identify and quantify the volatile hydrolysate. 38 kinds of volatile aroma compounds were detected in two kinds of sorghums, including 6 kinds of alcohols,6 kinds of aldehydes,9 kinds of ketones, 3 kinds of aromatic compounds,3 kinds of terpenoids,6 kinds of esters,1 kind of sulfide,1 kind of furan,and 3 kinds of acids. Among these, 23 kinds of volatile compounds were first detected in the enzymatic hydrolysate of sorghums, and 3 kinds of volatiles were tentatively identified. The results suggested that enzymatic hydrolysis was an effective way to release bound aromas.",0253-990X,,CSCD:6077101,,
290,Li Hehe; Hu Xiaomei; Sun Baoguo; Zhang Fenguo; Sun Jinyuan; Huang Mingquan; Sun Xiaotao,Application of Carbon Stable Isotope in the Authenticity of Baijiu,Journal of Chinese Institute Of Food Science and Technology,,19,1,183,189,1009-7848(2019)19:1<183:TWDTWS>2.0.TX;2-Z,,2019,"The research method that stable carbon isotope composition (delta~(13)C) of ethanol in Baijiu were determined by gas chromatography-combustion-isotope ratio mass spectrometry (GC-C-IRMS) with the pretreatment of dilution by organic solvent has been optimized. The delta~(13)C of 5 base Baijiu, 24 Baijiu made by traditional fermentation and 14 Baijiu made from traditional and liquid fermentation have been analyzed. The results show that the delta~(13)C values of 5 base Baijiu have no significant difference. The delta~(13)C values of the ethanol in Baijiu is related to cereal for Baijiu-making and producing area. Using delta~(13)C to distinguish Baijiu made by traditional fermentation and made from traditional and liquid fermentation is possible.",1009-7848,,CSCD:6428349,,
291,Fan Wenlai; Xu Yan; Shi Binbin,Evolvement of ethyl carbamate and urea from fermented grains in the fermentation process of Chinese liquor,Science & Technology of Food Industry,,33,23,171,174,1002-0306(2012)33:23<171:JPFJGC>2.0.TX;2-Y,,2012,"The quantitative method of ethyl carbamate(EC)of daqu and fermented grains was established. EC of samples were isolated with ultrapure water under an ultrasound cleaning bath,and extracted with headspace solid -phase microextraction(HS-SPME), and detected and identified by gas chromatography-mass spectrometry (GC-MS).The colorimetric method was employed for determining of urea of solid state matrix.The results showed that the changes of EC and urea levels of fermented grains were similar in various aroma type liquors.And the urea increased, and EC also increased with fermentation time.The concentration of EC of fermented grains was range from 110~130mug/kg, and the concentration of urea was 26~80mg/kg.",1002-0306,,CSCD:4721709,,
292,Lu Jun; Tang Ping; Shan Qimuge; Wang Li; Wang Fan; Meng Tianyi; Liang Qingsong; Zhang Le; Li Changwen,Effects of different cellar sealing methods on brewing process of Maotai-flavor Baijiu,Food and Fermentation Industries,,46,2,203,207,0253-990X(2020)46:2<203:BTFJFS>2.0.TX;2-Q,,2020,"In order to explore the role of mud used to seal pits in the production process of Maotaiflavor Baijiu,the liquor-making experiments were carried out by using pit mud and not using pit mud,respectively,in the cellar fermentation process of Maotai-flavor Baijiu.The results showed that the temperature change trend,water content,starch content,acidity,reducing sugar content,production yield of the base liquor distilled from the top of fermented grains and total base liquor of the cellar were very close in different cellar sealing methods (no mud used to seal pits/with mud used to seal pits).The base liquor produced by no mud used to seal pits method scored higher in body cleanliness than that produced by with mud used to seal pits method,but lower in sauce flavor and liquor body alcohol thickness,and similar in aftertaste and Qu flavor.However,the quality of the base liquor distilled by the two methods was qualified.Using PLS-DA model,10 flavor compounds were identified as the key factors of quality difference.In conclusion,Whether or not to use cellar mud has little effect on fermentation process,physicochemical indexes of fermented grains and basic liquor yield in Maotai-flavor Baijiu production process,but it plays an important role in the style and quality of base liquor.Finally,according to the actual technical requirements of Maotai-flavor Baijiu enterprises,this paper puts forward some suggestions on the quality management of mud used to seal pits.",0253-990X,,CSCD:6714586,,
293,"Du, Hai; Lu, Hu; Xu, Yan",Influence of Geosmin-Producing Streptomyces on the Growth and Volatile Metabolites of Yeasts during Chinese Liquor Fermentation,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,,63,1,290,296,,10.1021/jf503351W,2015,"Diverse Streptomyces species act as geosmin producers in the Chinese liquor-making process, causing an earthy, off-odor containment. Through microbiological and metabolite analyses, this paper investigates the influence of several geosmin-producing Streptomyces on the microbial community of a brewing system. The antifungal activity against functional liquor-brewing microbes was assayed by an agar diffusion method. Several Streptomyces, most notably Streptomyces sampsonii QC-2, inhibited the growth of the brewing functional yeasts and molds in pure culture. In a simulated coculture, Streptomyces spp. reduced the flavor compounds (alcohols and esters) contributed by yeasts. Nine components in Streptomyces sampsonii QC-2 broth were detected by ultraperformance liquid chromatography coupled with photo diode array (UPLC-PDA), with characteristic ultraviolet absorptions at 360, 380, and 400 nm. The main products of Streptomyces sampsonii QC-2 were identified by ultraperformance liquid chromatography-quadrupole time-of-flight mass spectrometry (UPLC/Q-TOF-MS/MS), and confirmed by standard mass spectrometry. The antifungal active components were revealed as a series of heptaene macrolide antibiotics.",0021-8561,1520-5118,WOS:000348085100033,25487847,
294,"Xiao, Zuobing; Yu, Dan; Niu, Yunwei; Chen, Feng; Song, Shiqing; Zhu, Jiancai; Zhu, Guangyong",Characterization of aroma compounds of Chinese famous liquors by gas chromatography-mass spectrometry and flash GC electronic-nose,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,,945,,92,100,,10.1016/j.jchromb.2013.11.032,2014,"Aroma composition of five Chinese premium famous liquors with different origins and liquor flavor types was characterized by gas chromatography-mass spectrometry (GC-MS) and flash gas chromatographic electronic nose system. Eighty-six aroma compounds were identified, including 5 acids, 34 esters, 10 alcohols, 9 aldehydes, 4 ketones, 4 phenols, and 10 nitrous and sulfuric compounds. To investigate possible correlation between aroma compounds identified by GC-MS and sensory attributes, multivariate ANOVA-PLSR (APLSR) was performed. It turned out that there were 30 volatile composition, ethyl acetate, ethyl propanoate, ethyl 2-methyl butanoate, ethyl 3-methyl butanoate, ethyl lactate, ethyl benzenacetate, 3-methylbutyl acetate, hexyl acetate, 3-methyl-1-butanol, 1-heptanol, phenylethyl alcohol, acetaldehyde, 1,1-diethoxy-3-methyl butane, furfural, benzaldehyde, 5-methyl-2-furanal, 2-octanone, 2-n-butyl furan, dimethyl trisulfied and 2,6-dimethyl pyrazine, ethyl nonanoate, isopentyl hexanoate, octanoic acid, ethyl 5-methyl hexanoate, 2-phenylethyl acetate,ethyl oleate, propyl hexanoate, butanoic acid and phenol, ethyl benzenepropanoate, which showed good coordination with Chinese liquor characteristics. The multivariate structure of this electronic nose responses was then processed by principal component analysis (PCA) and hierarchical cluster analysis (HCA). According to the obtained results, GC-MS and electronic nose can be used for the differentiation of the liquor origins and flavor types. (C) 2013 Elsevier B.V. All rights reserved.",1570-0232,1873-376X,WOS:000330147700013,24333641,
295,"Wang, Jia-Ying; Meng, Qing-Hao; Jin, Xing-Wei; Sun, Zhe-Hua",Design of handheld electronic nose bionic chambers for Chinese liquors recognition,MEASUREMENT,,172,,,,108856,10.1016/j.measurement.2020.108856,2021,"The existing electronic nose (e-nose) chamber has problems in design, such as large volume, unreasonable structure and so on, so it cannot be well used in handheld e-nose systems. Inspired by the structural characteristics of mammalian nasal cavity, seven design schemes of handheld e-nose bionic chamber for liquor recognition were proposed in this paper. Firstly, through fluid dynamics simulation, the effects of chamber shape and internal structure on airflow uniformity, flow velocity, air pressure and residual gas were compared comprehensively. On this basis, the bionic chamber with the best comprehensive performance was selected. Then, the selected bionic chamber and the ordinary square gas chamber were installed in the self-made handheld e-nose system and used in the identification experiments of six liquors. The results show that the selected bionic chamber has higher recognition rate.",0263-2241,1873-412X,WOS:000619231100002,,
296,"Tan, Guangxun; Hu, Yuanliang; Huang, Yinna; Liu, Huanming; Dong, Weiwei; Li, Jing; Liu, Jianfeng; Peng, Nan; Liang, Yunxiang; Zhao, Shumiao",Analysis of bacterial communities in pit mud from Zhijiang Baijiu distillery using denaturing gradient gel electrophoresis and high-throughput sequencing,JOURNAL OF THE INSTITUTE OF BREWING,,126,1,90,97,,10.1002/jib.595,2020,"Zhijiang Baijiu is a Chinese strong flavour liquor produced using a traditional Chinese solid state fermentation involving microorganisms in pit mud on cellar walls. In this study, pit mud samples were collected from three different cellars in a Zhijiang Baijiu distillery ranging in age from 10 to 20 and 30 years. The bacterial communities were analysed using denaturing gradient gel electrophoresis, high-throughput sequencing and quantitative real time PCR. These analyses showed that the diversity of the bacterial community in pit mud samples was relatively stable in cellars aged from 20 to 30 years old. High throughput sequencing also revealed that the relative abundance of seven core bacterial families and nearly half of the core bacterial genera were stable in 20 year-old cellars. In cellars of 10 to 30 years, the relative abundance in pit mud of Ruminococcaceae and Clostridium cluster IV increased, while that of Petrimonas and an unclassified Firmicutes decreased. Real time PCR showed that aged pit mud contained more bacteria and Clostridium kiuyveri than young pit mud. It is concluded that the bacterial communities in aged pit mud are more suitable for producing high quality Baijiu. (C) 2019 The Institute of Brewing & Distilling",0046-9750,2050-0416,WOS:000512358200011,,
297,Li Anjun; Liu Guoying; Li Lan; He Hongkui; Gao Jiangjing; Wang Lu,Flavor components of Chinese liquor yellow water,Food and Fermentation Industries,,45,2,118,123,0253-990X(2019)45:2<118:JYCLJC>2.0.TX;2-C,,2019,"In this study, the supercritical CO_2 extraction was optimized to extract flavor substances from the yellow water. The effects of extraction conditions (extraction pressure,the amount of ethanol entrainer added,extraction temperature) and separation conditions (pressure,temperature,time) on the yield rate and total amount of flavor substances extracted were systematically studied. The results showed that the yellow water contained abundant flavor compounds. The highest yield of flavor substances extracted from the yellow water under the best extraction conditions was 7. 4%. The supercritical CO_2 extraction improved the utilization rate of the yellow water as well as the social and economic efficiency of Chinese liquor enterprises.",0253-990X,,CSCD:6430075,,
298,Wang Shixin; Kai Lang; Yang Jingyi; Ji Xingming; Qian Hanqi; Xu Yan; Du Hai,Research progress on health effects of short-chain fatty acids and its ethyl esters in strong aroma-type Baijiu,Food and Fermentation Industries,,46,16,257,263,0253-990X(2020)46:16<257:NXXBJZ>2.0.TX;2-R,,2020,"Alcoholic liver disease (ALD) is a global disease associated with chronic overdrinking of alcohol. In addition to abstaining from alcohol,giving full play to the effects of health factors in alcoholic beverages could also reduce the harm of alcohol to human body. Strong aroma-type Baijiu(Chinese liquor) is the liquor with the highest sales volume in China. The content of short-chain fatty acids (SCFAs) in strong aroma-type Baijiu is high,and it has important contribution to the flavor of the liquor. These SCFAs are mainly metabolites of Clostridium spp. in pit mud with certain biological activities, which can accelerate the metabolism of ethanol in vivo,reduce liquor intoxication,affect the growth and metabolism of gut microbes,protect the intestinal mucosal barrier,participate in host immunity and inflammatory reactions,and are closely related to the development of alcoholic liver disease. This paper reviewed the production and physiological effects of SCFAs and its ethyl esters in strong aroma-type Baijiu.",0253-990X,,CSCD:6798739,,
299,"Zhao, Zhe; Sugimachi, Mina; Yoshizaki, Yumiko; Yin, Xuan; Han, Xing-Lin; Okutsu, Kayu; Futagami, Taiki; Tamaki, Hisanori; Takamine, Kazunori",Impact of solid-state saccharification on the flavor of rice-flavor baijiu.,Journal of food science,,,,,,,10.1111/1750-3841.15935,2021,"Rice-flavor baijiu is a traditional Chinese liquor. The flavor profile and volatiles presented with or without the solid-state saccharification (SSS) were investigated to reveal the effects of SSS process on the quality of rice-flavor baijiu. The liquor prepared with SSS had a sweet flavor. It contained significantly higher contents of beta-phenylethyl alcohol, beta-phenylethyl acetate, and ethyl lactate with odor active value of >1. The liquor prepared without SSS had a cheese-like flavor. It was confirmed that the cheese-like flavor derived from butanoic acid was only detected in the liquor prepared without SSS. SSS facilitated the biosynthesis of beta-phenylethyl alcohol and ethyl lactate by supplying a large amount of phenylalanine and lactic acid at the initial stage of fermentation, and it prevented contamination. These results indicated that the SSS process contributed to produce the characteristic flavor compounds of rice-flavor baijiu. PRACTICAL APPLICATION: Solid-state saccharification (SSS) process of rice-flavor baijiu contributes not only in brewing, but also in the production of the characteristic flavor compounds and the repression of the off-flavor derived from the contamination. Therefore, SSS is a critical process to control the flavor of rice-flavor baijiu.",,1750-3841,MEDLINE:34642945,34642945,
300,"Niu, Yunwei; Yu, Dan; Xiao, Zuobing; Zhu, Jiancai; Song, Shiqing; Zhu, Guangyong",Use of Stir Bar Sorptive Extraction and Thermal Desorption for Gas Chromatography-Mass Spectrometry Characterization of Selected Volatile Compounds in Chinese Liquors,FOOD ANALYTICAL METHODS,,8,7,1771,1784,,10.1007/s12161-014-0060-z,2015,"Stir bar sorptive extraction and thermal desorption system followed by gas chromatography-mass spectrometry (SBSE-TDS/GC-MS) have been applied to the characterization of selected volatile compounds of Chinese liquors. Calibration curves were achieved for quantification with correlation coefficients ranging from 0.9875 to 0.9996. Limits of detection (LODs) and limits of quantification (LOQs) were obtained ranging from 0.007 to 17.89 mu g L-1 and from 0.02 to 69.6 mu g L-1, respectively. Repeatability was between 0.2 and 7.0 % while intermediate precision was between 0.1 and 7.5 %. Afterward, five Chinese liquors having different flavor types were investigated using the SBSE-TDS/GC-MS method. A total of 87 volatile compounds, including 40 esters, 12 alcohols, 8 acids, 2 phenols, 8 aldehydes and ketones, 7 acetals, 6 furans, 1 sulfuric compound, and 3 pyrazines, were identified and quantified. The obtained results of GC-MS were then subjected to analysis of variance (one-way ANOVA) followed by partial least squares regression (PLSR). ANOVA results indicated that 52 components (p a parts per thousand currency signaEuro parts per thousand 0.05) were useful in characterizing the five liquor aromas. It showed that the ANOVA-PLSR model could well elucidate the correlation between liquors and the identified volatile compounds and could well indicate the possibility to discriminate sauce-flavor and strong-flavor liquors.",1936-9751,1936-976X,WOS:000358326700018,,
